id,comment,label
1,Aray bakwaas baatein mat kar lol,H
2,Mashallah shukriya share karne ke liye bhai,O
3,ARAY KYA FALTU! INSAN HY BRO,H
4,tum :) smajhta kyaa haii apne aap ko lol,H
5,good luck for neext project bro,O
6,Mashallah tera accent!! ajeeb hey bhai,H
7,Bhai very helpful :) :) bro,O
8,Haye awesome creativity :),O
9,Haye very clean editing ok,O
10,very clean editing :),O
11,Aray appreciate your effort :),O
12,Mashallah faltu vidio banai!!! hai bro,H
13,YAAR TUMHARA KONTENT INSPIRE KARTA HAI :),O
14,Mashallah gud information di bro,O
15,Haye tume jaise log!! hamesha problem banate hain :),H
16,BHAI TUMHARA REPLY ACHA LAGA YAAR,O
17,Aray gr8! energy bro bhai,O
18,cool!!! video :),O
19,tujhe sharam nahi aati :),H
20,Haye etra content bakwas hai yaar,H
21,Bhai cool video bhai ok,O
22,Yaar wow!!! kya baat hai bro,O
23,Bhai keep! posting bro,O
24,Aray kyaa faltu insan hai bhai,H
25,Haye clear aur easy steps bhai,O
26,ARAY SIMLPE AUR SAMAJHNE LAYAK VIDIYO BHAI,O
27,Haye kuch seekh le pehle yaar,H
28,Aray tu toh pure time waste hai,H
29,Aray excellent work bro bhai,O
30,Mashallah tum samjhta kya hey apne aap ko,H
31,Mashallah nice explanation yaar!!! bhai,O
32,Bhai faltu time waste bro,H
33,Bhai faltu content upload karte rehta haii yaar,H
34,Aray good!!! initiative yaar,O
35,Mashallah faltu kontent :) upload karte rehta haii yaar,H
36,Yaar badtameez aadmi bro,H
37,Haye aise kaam se kuch nahi hota bro,H
38,Mashallah jhoot bolta hey tu :) bhai,H
39,Haye faltu content upload! karte!! rehta hai yaar lol,H
40,pagal sa behaviour dikha :P raha hey yaar,H
41,Haye best! one on this topic bro,O
42,Aray tumhara style alag hai bro,O
43,Aray tum jaise log hamesha problem banate hain bro,H
44,kamal ka effort haii bro,O
45,Aray maza aagaya dekh kar :),O
46,VERI HELPFUL BHAI,O
47,mashallah nais work bro,O
48,Yaar dimagh kharab kar dia :P :),H
49,clear aur easy steps,O
50,Mashallah aise kaam se kuch nahi hota :P bro,H
51,Yaar tu samjhta keaa hai apne aap ko nice,H
52,Haye aise kaam se kuch nai!! hota bhai,H
53,Bhai itna irritating! content yaar bro,H
54,MASHALLAH TERA CONTENT! BAKWAS HY :),H
55,Yaar zyada :) smart mat!! ban bro,H
56,tumhara kontent :) unique hai,O
57,BHAI AWESOME :) CREATIVITY,O
58,Haye jhoot bolta haii tu,H
59,proud of you bro yaar nice,O
60,Bhai cool video :),O
61,Yaar tere!! ajise log sab bigad dete hain bhai,H
62,tu!!! pagal!! hy kya,H
63,mujhe ye video pasand aaya :) bro,O
64,Aray badtameez aadmi yaar,H
65,Mashallah badtameez aadmi bhai,H
66,yaar tum talented ho,O
67,Yaar dil khush kar diya yaar,O
68,Mashallah tum!! samjhta kia hey apne aap ko bro,H
69,Bhai tera! content bakwas haii yaar,H
70,Haye tera accent ajeeb hy :P yaar,H
71,Haye nice message diya bro,O
72,nice presentation :),O
73,Mashallah koi sense nhi hai vidio mein bhai ok,H
74,Bhai nalayak :P banda bro haha,H
75,Bhai keep it up :) ok,O
76,Aray best one :P on this topic bhai,O
77,Yaar bakwas :) vidiyo yaar,H
78,tujhe sharam nhi aati bhai,H
79,BAKWAS DEITING BHAI,H
80,kuch bhi bol deta hai! tuu :),H
81,Bhai mujhe ye vidio pasand aaya bhai nice,O
82,keep posting :) bhai haha,O
83,BHAI ITNA OVERACTING KYU KARTA HAI YAAR,H
84,Bhai veri clean editing :),O
85,Mashallah dimagh ka pressure badha :) diya video ne :),H
